Date,Day_of_Week,Matchup,TV_Network,Start_Time,End_Time,Top_25,Visitor_Conference,Home_Conference
"Thu, Sep 24",Thursday,Liberty at Coastal Carolina,ESPN,6:30 PM,10:00 PM,N,Conference USA,Sun Belt
"Fri, Sep 25",Friday,Army at Temple,ESPN,3:00 PM,6:30 PM,N,AAC,AAC
"Fri, Sep 25",Friday,Howard at Rutgers,B1G Network,6:00 PM,9:30 PM,N,MEAC,Big Ten
"Fri, Sep 25",Friday,Navy at UAB,ESPN,6:00 PM,9:30 PM,N,AAC,AAC
"Fri, Sep 25",Friday,Northwestern at #5 Indiana,FOX,7:00 PM,10:30 PM,Y,Big Ten,Big Ten
"Fri, Sep 25",Friday,Clemson at Cal,ESPN,9:30 PM,1:00 AM,N,ACC,ACC
"Sat, Sep 26",Saturday,#1 Texas at #14 Tennessee,ABC,11:00 AM,2:30 PM,Y,SEC,SEC
"Sat, Sep 26",Saturday,Illinois at #7 Ohio State,FOX,11:00 AM,2:30 PM,Y,Big Ten,Big Ten
"Sat, Sep 26",Saturday,Sam Houston at #11 Texas Tech,TNT,11:00 AM,2:30 PM,Y,Conference USA,Big XII
"Sat, Sep 26",Saturday,Wake Forest at #16 Louisville,ESPN,11:00 AM,2:30 PM,Y,ACC,ACC
"Sat, Sep 26",Saturday,Colorado at Baylor,ESPN2,11:00 AM,2:30 PM,N,Big XII,Big XII
"Sat, Sep 26",Saturday,Bucknell at Pitt,ACCNX,11:00 AM,2:30 PM,N,Patriot League,ACC
"Sat, Sep 26",Saturday,Virginia Tech at Boston College,ACC Network,11:00 AM,2:30 PM,N,ACC,ACC
"Sat, Sep 26",Saturday,San Diego State at Toledo,CBSSN,11:00 AM,2:30 PM,N,Pac-12,MAC
"Sat, Sep 26",Saturday,Colorado State at UTSA,ESPNU,11:00 AM,2:30 PM,N,Pac-12,AAC
"Sat, Sep 26",Saturday,UNLV at Akron,ESPN+,11:00 AM,2:30 PM,N,Mountain West,MAC
"Sat, Sep 26",Saturday,Ball State at Kent State,ESPN+,11:00 AM,2:30 PM,N,MAC,MAC
"Sat, Sep 26",Saturday,South Alabama at Kentucky,SEC Network,11:45 AM,3:15 PM,N,Sun Belt,SEC
"Sat, Sep 26",Saturday,Lindenwood at Eastern Michigan,ESPN+,12:00 PM,3:30 PM,N,Ohio Valley,MAC
"Sat, Sep 26",Saturday,UCLA at Maryland,B1G Network,12:30 PM,4:00 PM,N,Big Ten,Big Ten
"Sat, Sep 26",Saturday,#3 Notre Dame at Purdue,Peacock,1:00 PM,4:30 PM,Y,Independents,Big Ten
"Sat, Sep 26",Saturday,Northern Illinois at Georgia State,ESPN+,1:00 PM,4:30 PM,N,Mountain West,Sun Belt
"Sat, Sep 26",Saturday,Central Arkansas at Florida State,ACC Network,2:00 PM,5:30 PM,N,UAC,ACC
"Sat, Sep 26",Saturday,Hawai'i at Wyoming,CW,2:00 PM,5:30 PM,N,Mountain West,Mountain West
"Sat, Sep 26",Saturday,Oklahoma at #2 Georgia,ESPN,2:30 PM,6:00 PM,Y,SEC,SEC
"Sat, Sep 26",Saturday,#4 Ole Miss at #21 Florida,ABC,2:30 PM,6:00 PM,Y,SEC,SEC
"Sat, Sep 26",Saturday,#15 Utah at Iowa State,FOX,2:30 PM,6:00 PM,Y,Big XII,Big XII
"Sat, Sep 26",Saturday,#17 Iowa at #18 Michigan,CBS,2:30 PM,6:00 PM,Y,Big Ten,Big Ten
"Sat, Sep 26",Saturday,TCU at UCF,FS1,2:30 PM,6:00 PM,N,Big XII,Big XII
"Sat, Sep 26",Saturday,William & Mary at Duke,ACCNX,2:30 PM,6:00 PM,N,Patriot League,ACC
"Sat, Sep 26",Saturday,UConn at Miami (Ohio),ESPN+,2:30 PM,6:00 PM,N,Independents,MAC
"Sat, Sep 26",Saturday,New Mexico at New Mexico State,CBSSN,2:30 PM,6:00 PM,N,Mountain West,Conference USA
"Sat, Sep 26",Saturday,Robert Morris at Buffalo,ESPN+,2:30 PM,6:00 PM,N,Northeast,MAC
"Sat, Sep 26",Saturday,Stonehill at Ohio,ESPN+,2:30 PM,6:00 PM,N,Northeast,MAC
"Sat, Sep 26",Saturday,Gardner-Webb at Marshall,ESPN+,2:30 PM,6:00 PM,N,Ohio Valley,Sun Belt
"Sat, Sep 26",Saturday,North Carolina Central at East Carolina,ESPN+,3:00 PM,6:30 PM,N,MEAC,AAC
"Sat, Sep 26",Saturday,Vanderbilt at Auburn,SEC Network,3:15 PM,6:45 PM,N,SEC,SEC
"Sat, Sep 26",Saturday,Wisconsin at #13 Penn State,Peacock,4:00 PM,7:30 PM,Y,Big Ten,Big Ten
"Sat, Sep 26",Saturday,Nebraska at Michigan State,B1G Network,4:00 PM,7:30 PM,N,Big Ten,Big Ten
"Sat, Sep 26",Saturday,South Florida at Bowling Green,ESPN+,4:00 PM,7:30 PM,N,AAC,MAC
"Sat, Sep 26",Saturday,Delaware at Virginia,ACC Network,5:00 PM,8:30 PM,N,Conference USA,ACC
"Sat, Sep 26",Saturday,UIW at Texas State,USA,5:00 PM,8:30 PM,N,Southland,Pac-12
"Sat, Sep 26",Saturday,LIU at Florida International,ESPN+,5:00 PM,8:30 PM,N,NEC,Conference USA
"Sat, Sep 26",Saturday,James Madison at Old Dominion,ESPN+,5:00 PM,8:30 PM,N,Sun Belt,Sun Belt
"Sat, Sep 26",Saturday,Central Michigan at #6 Miami,CW,5:30 PM,9:00 PM,Y,MAC,ACC
"Sat, Sep 26",Saturday,Louisiana at Charlotte,ESPN+,5:30 PM,9:00 PM,N,Sun Belt,AAC
"Sat, Sep 26",Saturday,South Carolina at #8 Alabama,ESPN,6:00 PM,9:30 PM,Y,SEC,SEC
"Sat, Sep 26",Saturday,Kansas State at Cincinnati,ESPN2,6:00 PM,9:30 PM,N,Big XII,Big XII
"Sat, Sep 26",Saturday,Oklahoma State at West Virginia,FS1,6:00 PM,9:30 PM,N,Big XII,Big XII
"Sat, Sep 26",Saturday,Southern Miss at Tulane,ESPN+,6:00 PM,9:30 PM,N,Sun Belt,AAC
"Sat, Sep 26",Saturday,Kennesaw State at Arkansas State,ESPN+,6:00 PM,9:30 PM,N,Conference USA,Sun Belt
"Sat, Sep 26",Saturday,Mercyhurst at Western Kentucky,ESPN+,6:00 PM,9:30 PM,N,Northeast,Conference USA
"Sat, Sep 26",Saturday,Middle Tennessee at Jacksonville State,ESPN+,6:00 PM,9:30 PM,N,Conference USA,Conference USA
"Sat, Sep 26",Saturday,#23 Texas A&M at #10 LSU,ABC,6:30 PM,10:00 PM,Y,SEC,SEC
"Sat, Sep 26",Saturday,#20 Oregon at #12 USC,NBC,6:30 PM,10:00 PM,Y,Big Ten,Big Ten
"Sat, Sep 26",Saturday,Arizona at Washington State,CBS,6:30 PM,10:00 PM,N,Big XII,Pac-12
"Sat, Sep 26",Saturday,Troy at Utah State,CBSSN,6:30 PM,10:00 PM,N,Sun Belt,Pac-12
"Sat, Sep 26",Saturday,Houston Christian at North Texas,ESPN+,6:30 PM,10:00 PM,N,Southland,AAC
"Sat, Sep 26",Saturday,Appalachian State at NC State,ESPNU,6:30 PM,10:00 PM,N,Sun Belt,ACC
"Sat, Sep 26",Saturday,#19 Missouri at #24 Mississippi State,SEC Network,6:45 PM,10:15 PM,Y,SEC,SEC
"Sat, Sep 26",Saturday,Tulsa at Arkansas,SECN+,7:00 PM,10:30 PM,N,AAC,SEC
"Sat, Sep 26",Saturday,Florida Atlantic at UL Monroe,ESPN+,7:00 PM,10:30 PM,N,AAC,Sun Belt
"Sat, Sep 26",Saturday,Missouri State at #22 SMU,ACC Network,8:00 PM,11:30 PM,Y,Conference USA,ACC
"Sat, Sep 26",Saturday,Oregon State at UTEP,MW+,8:00 PM,11:30 PM,N,Pac-12,Mountain West
"Sat, Sep 26",Saturday,UMass at Sacramento State,ESPN+,8:00 PM,11:30 PM,N,MAC,MAC
"Sat, Sep 26",Saturday,Rice at Fresno State,CW,9:00 PM,12:30 AM,N,AAC,Pac-12
"Sat, Sep 26",Saturday,Georgia Tech at Stanford,ESPN,9:30 PM,1:00 AM,N,ACC,ACC
"Sat, Sep 26",Saturday,Air Force at Nevada,FS1,9:30 PM,1:00 AM,N,Mountain West,Mountain West
"Sat, Sep 26",Saturday,Minnesota at Washington,FOX,10:00 PM,1:30 AM,N,Big Ten,Big Ten
